slug,name,owner,description,stargazerCount,forkCount,watchersCount,openIssuesCount,openPullRequestsCount,releasesCount,primaryLanguage,createdAt,updatedAt,url,hasGithubSponsor
treeder_hello_worker,hello_worker,treeder,The simplest IronWorker.,0,0,1,0,0,0,Ruby,2012-10-10T03:36:36Z,2015-01-27T23:56:09Z,https://github.com/treeder/hello_worker,True
plone_plone.app.imaging,plone.app.imaging,plone,Provides various ways of using image scales in Plone templates,3,12,157,2,0,0,Python,2011-09-21T20:16:32Z,2021-06-15T09:39:03Z,https://github.com/plone/plone.app.imaging,True
code-reaqtor_qpixmapwidget,qpixmapwidget,roniemartinez,QWidget-based class used for viewing QPixmaps,2,0,2,0,0,0,C++,2013-04-17T11:04:24Z,2023-01-04T18:13:23Z,https://github.com/Code-ReaQtor/qpixmapwidget,True
fmcalisto_bankdb,bankDB,FMCalisto,Data Base Introduction,2,0,4,0,0,0,PHP,2014-09-26T23:55:49Z,2019-08-13T15:51:39Z,https://github.com/FMCalisto/bankDB,True
ap--_voltcraft,voltcraft,ap--,Python module for voltcraft powersupplies,13,16,1,1,0,3,Python,2012-08-28T14:32:13Z,2025-08-07T21:00:06Z,https://github.com/ap--/voltcraft,True
andrew_instareader,instareader,andrew,"[UNMAINTAINED] A simple, readable instapaper web interface",2,6,3,0,0,0,Ruby,2011-08-07T21:19:02Z,2023-01-28T19:40:03Z,https://github.com/andrew/instareader,True
nefarius_reactiveprotobuf,ReactiveProtobuf,nefarius,Protobuf protocol implementation for ReactiveSockets,1,2,2,0,0,0,C#,2014-12-23T00:27:06Z,2023-01-28T06:54:17Z,https://github.com/nefarius/ReactiveProtobuf,True
xe_scron,scron,Xe,Simple cron daemon,4,1,2,0,0,0,C,2014-11-03T22:45:37Z,2024-01-10T22:41:45Z,https://github.com/Xe/scron,True
edgarrmondragon_gatsby-source-sql,gatsby-source-sql,edgarrmondragon,"Plugin for connecting SQL databases to a Gatsby site. Supported SQL databases are MySQL/MariaDB, PostgreSQL, Amazon Redshift, SQLite3, Oracle and MSSQL.",32,8,3,3,0,0,JavaScript,2018-11-17T20:21:16Z,2025-03-30T00:45:11Z,https://github.com/edgarrmondragon/gatsby-source-sql,True
edgarrmondragon_gatsby-source-sql,gatsby-source-sql,edgarrmondragon,"Plugin for connecting SQL databases to a Gatsby site. Supported SQL databases are MySQL/MariaDB, PostgreSQL, Amazon Redshift, SQLite3, Oracle and MSSQL.",32,8,3,3,0,0,JavaScript,2018-11-17T20:21:16Z,2025-03-30T00:45:11Z,https://github.com/edgarrmondragon/gatsby-source-sql,True
edgarrmondragon_gatsby-source-sql,gatsby-source-sql,edgarrmondragon,"Plugin for connecting SQL databases to a Gatsby site. Supported SQL databases are MySQL/MariaDB, PostgreSQL, Amazon Redshift, SQLite3, Oracle and MSSQL.",32,8,3,3,0,0,JavaScript,2018-11-17T20:21:16Z,2025-03-30T00:45:11Z,https://github.com/edgarrmondragon/gatsby-source-sql,True
laserlemon_vestal_versions,vestal_versions,laserlemon,Keep a DRY history of your ActiveRecord models' changes,928,231,14,52,7,0,Ruby,2009-06-02T00:14:56Z,2025-07-31T23:13:13Z,https://github.com/laserlemon/vestal_versions,True
laserlemon_vestal_versions,vestal_versions,laserlemon,Keep a DRY history of your ActiveRecord models' changes,928,231,14,52,7,0,Ruby,2009-06-02T00:14:56Z,2025-07-31T23:13:13Z,https://github.com/laserlemon/vestal_versions,True
laserlemon_vestal_versions,vestal_versions,laserlemon,Keep a DRY history of your ActiveRecord models' changes,928,231,14,52,7,0,Ruby,2009-06-02T00:14:56Z,2025-07-31T23:13:13Z,https://github.com/laserlemon/vestal_versions,True
browniebroke_django-codemod,django-codemod,browniebroke,A tool to automatically fix Django deprecations.,183,17,3,8,2,108,Python,2020-05-06T21:37:14Z,2025-08-07T21:43:09Z,https://github.com/browniebroke/django-codemod,True
browniebroke_django-codemod,django-codemod,browniebroke,A tool to automatically fix Django deprecations.,183,17,3,8,2,108,Python,2020-05-06T21:37:14Z,2025-08-07T21:43:09Z,https://github.com/browniebroke/django-codemod,True
browniebroke_django-codemod,django-codemod,browniebroke,A tool to automatically fix Django deprecations.,183,17,3,8,2,108,Python,2020-05-06T21:37:14Z,2025-08-07T21:43:09Z,https://github.com/browniebroke/django-codemod,True
observeroftime_discordthemes,DiscordThemes,ObserverOfTime,A collection of my custom Discord themes,21,16,3,1,0,0,,2018-02-07T16:14:24Z,2024-12-08T05:57:33Z,https://github.com/ObserverOfTime/DiscordThemes,True
observeroftime_discordthemes,DiscordThemes,ObserverOfTime,A collection of my custom Discord themes,21,16,3,1,0,0,,2018-02-07T16:14:24Z,2024-12-08T05:57:33Z,https://github.com/ObserverOfTime/DiscordThemes,True
observeroftime_discordthemes,DiscordThemes,ObserverOfTime,A collection of my custom Discord themes,21,16,3,1,0,0,,2018-02-07T16:14:24Z,2024-12-08T05:57:33Z,https://github.com/ObserverOfTime/DiscordThemes,True
